cnuc,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,administra,SiglaGrupo,UF,municipios,biomaIBGE,biomaCRL,CoordRegio
35,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FLORESTA DA CICUTA,1985,Arie,1251411,52189719,DEC  90.792 de 09/01/1985,Federal,US,RJ,Barra Mansa Volta Redonda.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
36,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO AMEIXAL,1984,Arie,358888,92204958,DEC  91.889 de 05/11/1985,Federal,US,SP,Peruíbe.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
146,PARQUE NACIONAL DA SERRA DAS CONFUSÕES,1998,Parna,8238545391,24146759225,"DEC S/N de 02/10/1998, DEC S/N de 30/12/2010",Federal,PI,PI,Cristino Castro Canto do Buriti Tamboril do Piauí Jurema Guaribas.,CERRADO,CAATINGA e CERRADO,CR5 Parnaíba/PI
40,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DA MATA DE SANTA GENEBRA,1985,Arie,2415536,84975532,DEC  91.885 de 05/11/1985,Federal,US,SP,Campinas.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
260,RESERVA EXTRATIVISTA VERDE PARA SEMPRE,2004,Resex,1289000,5591143962,DEC S/N de 08/11/2004,Federal,US,PA,Porto de Moz Gurupá Brasil Novo Prainha.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
45,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DA ABELHA,1990,Arie,5016604,419829449,DEC S/N de 28/05/1996,Federal,US,SC,Vitor Meireles Santa Terezinha.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
46,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO VALE DOS DINOSSAUROS,1984,Arie,1457912,48319244,RES CONAMA 17 de 18/12/1984,Federal,US,PB,Sousa.,CAATINGA,CAATINGA,CR6 Cabedelo/PB
33,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO COROBOBÓ,1984,Arie,74735597,346302607,RES CONAMA 005 de 05/06/1984,Federal,US,BA,Jeremoabo.,CAATINGA,CAATINGA,CR6 Cabedelo/PB
30,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA,1990,Arie,1509755,49167088,DEC  99.276/1990,Federal,US,SP,Santa Rita do Passa Quatro.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR11 Lagoa Santa/MG
42,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PONTAL DOS LATINOS E PONTAL DO SANTIAGO,1984,Arie,29922737,219314304,RES CONAMA 005 de 05/06/1984,Federal,US,RS,Santa Vitória do Palmar.,PAMPA,PAMPA,CR9 Florianópolis/SC
220,RESERVA EXTRATIVISTA AUATÍ-PARANÁ,2001,Resex,1469493758,2753548413,DEC S/N de 07/08/2001,Federal,US,AM,Japurá Fonte Boa e Maraã.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
225,RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAÍBA,2000,Resex,270220734,1050651397,DEC S/N de 16/11/2000,Federal,US,MA/PI,Araioses Ilha Grande Água Doce do Maranhão.,CERRADO,CERRADO,CR5 Parnaíba/PI
239,RESERVA EXTRATIVISTA DO RIO JUTAÍ,2002,Resex,2755158233,4217553809,DEC S/N de 16/07/2002,Federal,US,AM,Jutaí.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
274,RESERVA EXTRATIVISTA DO ALTO TARAUACÁ,2000,Resex,1509240905,282892282,DEC S/N de 8/11/2000,Federal,US,AC,Tarauacá Jordão Marechal Thaumaturgo.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
1517,RESERVA EXTRATIVISTA DO ALTO JURUÁ,1990,Resex,5379493593,4510577755,DEC 98.863 de 23/01/1990,Federal,US,AC,Marechal Thaumaturgo Jordão Porto Walter Tarauacá.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
234,RESERVA EXTRATIVISTA DO MANDIRA,2002,Resex,1177811,359951545,DEC S/N de 13/12/2002,Federal,US,SP,Cananéia.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
238,RESERVA EXTRATIVISTA DO RIO DO CAUTÁRIO,2001,Resex,751254962,2090778316,DEC S/N de 07/08/2001,Federal,US,RO,Guajará-Mirim Costa Marques.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
255,RESERVA EXTRATIVISTA MARINHA DO PIRAJUBAÉ,1992,Resex,1712097,283392717,DEC 533 de 20/05/1992,Federal,US,SC,Florianópolis.,MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR9 Florianópolis/SC
99,FLORESTA NACIONAL DE MULATA,2001,Flona,2166041828,3700562158,DEC S/N de 01/08/2001,Federal,US,PA,Alenquer Monte Alegre.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
109,FLORESTA NACIONAL DE SARACÁ-TAQUERA,1989,Flona,4412879869,4366965482,DEC  98.704 de 27/12/1989,Federal,US,PA,Faro Terra Santa Oriximiná.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
110,FLORESTA NACIONAL DE SILVÂNIA,2001,Flona,4866078,86800794,Portaria 247 de 18/07/2001,Federal,US,GO,Silvânia.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
112,FLORESTA NACIONAL DE TEFÉ,1989,Flona,8651266154,7575512211,DEC  97.629 de 10/04/1989.,Federal,US,AM,Juruá Uarini Alvarães Tefé Carauari.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
114,FLORESTA NACIONAL DO AMAZONAS,1989,Flona,1944000,22045395301,DEC  97.546 de 01/03/1989.,Federal,US,AM/RR,Barcelos Santa Isabel do Rio Negro.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
250,RESERVA EXTRATIVISTA MARINHA DE TRACUATEUA,2005,Resex,278645016,145105535,DEC S/N de 20/05/2005,Federal,US,PA,Tracuateua Bragança Quatipuru.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
249,RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ,2005,Resex,727899285,3280318871,DEC S/N de 20/05/2005,Federal,US,PA,Viseu Augusto Correia.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
223,RESERVA EXTRATIVISTA CHOCOARÉ-MATO GROSSO,2002,Resex,27831972,625745587,DEC S/N de 16/12/2002,Federal,US,PA,Santarém Novo São João das Pirabas Maracanã Igarapé-Açú.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
227,RESERVA EXTRATIVISTA MARACANÃ,2002,Resex,301796452,577110456,DEC S/N de 13/12/2002,Federal,US,PA,Maracanã Igarapé-Açú Magalhães Barata Salinópolis Santarém Novo São João de Pirabas.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
228,RESERVA EXTRATIVISTA DE SÃO JOÃO DA PONTA,2002,Resex,34094937,124576164,DEC S/N de 13/12/2002,Federal,US,PA,São João da Ponta São Caetano de Odivelas Curuçá.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
243,RESERVA EXTRATIVISTA MÃE GRANDE DE CURUÇÁ,2002,Resex,36678781,4375711958,DEC S/N de 13/12/2002,Federal,US,PA,Curuçá Marapanim São Caetano de Odivelas São João da Ponta.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
288,RESERVA EXTRATIVISTA GURUPÁ-MELGAÇO,2006,Resex,1455741083,2232897812,DEC S/N de 30/11/2006,Federal,US,PA,Melgaço Gurupá Breves.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
126,FLORESTA NACIONAL MAPIÁ - INAUINI,1989,Flona,368950438,5375537871,DEC  98.051 de 14/08/1989,Federal,US,AM,Boca do Acre Pauini.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
121,FLORESTA NACIONAL DO PURUS,1988,Flona,2561229724,3767411517,DEC   96.190 de 21/06/1988,Federal,US,AM,Pauini.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
133,FLORESTA NACIONAL DE SÃO FRANCISCO DE PAULA,1968,Flona,16156002,228562043,Portaria 561 de 25/10/1968,Federal,US,RS,São Francisco de Paula.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
1563,RESERVA EXTRATIVISTA ACAÚ-GOIANA,2007,Resex,66767939,876677354,DEC S/N de 26/09/2007,Federal,US,PB/PE,Goiana Caaporã Pitimbu.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR6 Cabedelo/PB
